"station_id","station_name","latitude","longitude","collection_date","Dissolved Oxygen","Nitrate","Phosphate","pH","Turbidity","Temperature","Group","Color","YearRange","TotalSamples","StationSampleCount","MarkerSize"
"PCO1","PCO1",41.378,-81.899,2019-12-08,18.1,0.5,0.5,9.14,100,4.4,"Rocky","#f69d01",2,1086,53,7.18403296678416
"PCO1","PCO1",41.378,-81.899,2019-12-13,16.6,1,0.13,8.28,86,2.8,"Rocky","#f69d01",2,1086,53,7.18403296678416
"CC1","CC1",41.44804223,-81.8362937,2019-12-20,18.4,1.1,0.97,8,120,0.2,"Rocky","#f69d01",2,1086,28,6.58745078663875
"CC1","CC1",41.44804223,-81.8362937,2019-12-20,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,28,6.58745078663875
"MS4","MS4",41.46,-81.822,2019-12-20,20.8,1.1,1.42,8.14,88,0.2,"Rocky","#f69d01",2,1086,57,7.26495033058123
"PC4","PC4",41.239,-81.818,2019-12-21,10.91,0.5,0.02,8.03,100,1.1,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC3","PC3",41.24695161,-81.83086455,2019-12-21,12.88,0.9,0.02,8.19,100,3.8,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC2","PC2",41.23399597,-81.81094233,2019-12-21,10.56,0.4,0.04,8.11,70.6,2.2,"Rocky","#f69d01",2,1086,117,8.24499614791759
"PC4","PC4",41.239,-81.818,2019-12-21,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC3","PC3",41.24695161,-81.83086455,2019-12-21,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,124,8.34065861769801
"PC2","PC2",41.23399597,-81.81094233,2019-12-21,NA,NA,NA,NA,NA,NA,"Rocky","#f69d01",2,1086,117,8.24499614791759
"PCO1","PCO1",41.378,-81.899,2019-12-23,16.4,1.8,0.47,8.24,100,2.6,"Rocky","#f69d01",2,1086,53,7.18403296678416
